# Full  Name                    SelID   SpecObjId               Date           Inst            Texp   Seeing    SDSS                    Sloan  _RA             _DE
41      J00561.343+004330.0     E00-2  111124108015566848      2008-07-16      AAT/SPIRAL      1800    ""      J005601.33+004330.0     Sloan   014.00554       +00.72500
42      J005453.56-005908.52    E00-3  111124105498984448      2008-07-16      AAT/SPIRAL      3600    1.0     J005453.56-005908.6     Sloan   013.72317       -00.98572
43      J040530.53-054322.0     E04-1  131108816992337920      2010-01-19      AAT/SPIRAL      3600    0.9     J040530.53-054321.9     Sloan   061.37721       -05.72275
44      J093412.85+104035.4     E09-1  490275791427338240      2010-01-19      AAT/SPIRAL      3600    1.3     J093412.85+104035.2     Sloan   143.55354       +10.67644
45      J101940.29-002624.7     E10-1  76502554946568192       2010-01-19      AAT/SPIRAL      3600    1.6     J101940.29-002624.7     Sloan   154.91787       -00.44019
46      J235833.89+145445.3     E23-1  211330581978415104      2008-07-16      AAT/SPIRAL      1800    1.5     J235833.90+145445.3     Sloan   359.64125       +14.91258
47      J08311.931+040318.9     F08-2  333773945712934912      2010-01-21      2.3m/WiFeS      3600    1.2     J083101.93+040318.8     Sloan   127.75804       +04.05522
48      J091929.43+061055.3     F09-1  279168078305034240      2010-01-21      2.3m/WiFeS      3600    1.2     J091929.43+061055.4     Sloan   139.87262       +06.18206
49      J102715.47+065003.66    F10-1  281419573087961088      2010-01-21      2.3m/WiFeS      3600    1.2     J102715.47+065003.6     Sloan   156.81446       +06.83433
50      J122534.26-025029.0     F12-4  94235951454224384       2010-01-21      2.3m/WiFeS      3600    1.2     J122534.26-025029.0     Sloan   186.39275       -02.84139
51      J034857.51-004254.2     G03-2  349819129932283904      2010-01-18      AAT/SPIRAL      3600    1.7     J034857.51-004254.2     Sloan   057.23962       -00.71506
52      J032718.58-002830.5     G03-4  116753553971740672      2010-01-19      AAT/SPIRAL      3600    1.0     J032718.58-002830.4     Sloan   051.82742       -00.47511
53      J041219.71-055448.6     G04-1  131108815939567616      2010-01-18      AAT/SPIRAL      3600    1.8     J041219.71-055448.6     Sloan   063.08212       -05.91350
54      J08456.474+024615.4     G08-1  158976187991851008      2010-01-18      AAT/SPIRAL      3600    2.0     J084506.47+024615.4     Sloan   131.27696       +02.77094
